date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-04 22:47:50,jcotto,,0,0,1,"#AUSTINTX PUT ON A (expletive) (expletive) MASK!!!!!!!!!!!!",,,#AUSTINTX,1268675859600355330,https://twitter.com/jcotto/status/1268675859600355330
2020-06-04 19:22:39,jmavelasquez,,0,3,0,"Familia, Cristo Rey Catholic Church food pantry will be giving out food TODAY from 4:45-6:45pm or until the food runs out. Must come in a vehicle. Must wear a mask. #EastAustin #BlessedUp",,,#EastAustin #BlessedUp,1268624225675415554,https://twitter.com/jmavelasquez/status/1268624225675415554
2020-06-04 14:35:13,G_Leija78,KVUE,0,0,0,"Let's see how many people saying ""All Lives Matter"" continue to wear a mask to protect ""all lives"". ",,,,1268551889580437504,https://twitter.com/G_Leija78/status/1268551889580437504
2020-06-04 12:42:55,KashMojo,,0,0,1,"Want to kick #covid19 risk to the curb in style? Grab a @cilantroboombox mask you’ll be safer, stylish and you’ll be supporting one of #austin #texas ‘ coolest bands @Austin, Texas https://www.instagram.com/p/CBA3nsVFsE9/?igshid=11euqkxk1z8d1",,@cilantroboombox,#covid19 #austin #texas,1268523626619420672,https://twitter.com/KashMojo/status/1268523626619420672
2020-06-04 11:23:08,davidmwyatt,,0,0,3,"Stay vigilant. #COVID19 is every bit as contagious and deadly as it was on day one—maybe moreso because people are getting increasingly careless. Keep your distance, wash your hands, and wear a mask in public. 388,424 dead globally. ",,,#COVID19,1268503547672506368,https://twitter.com/davidmwyatt/status/1268503547672506368
2020-06-04 10:24:35,buildsomething7,Jali_Cat,1,8,8,"Cuomo has just said to remember to wear a mask while protesting ",,,,1268488814093316097,https://twitter.com/buildsomething7/status/1268488814093316097
2020-06-04 06:37:35,tylerreese4L,,2,0,20,"Next person that pokes fun at me wearing a mask at work and fake coughs on me is getting swung at.",,,,1268431689505746945,https://twitter.com/tylerreese4L/status/1268431689505746945
2020-06-04 03:09:17,franke_212,,0,0,0,"Milo hates my mask I do too. ",,,,1268379267626401792,https://twitter.com/franke_212/status/1268379267626401792
2020-06-04 02:11:16,JakeNorthPhoto,,0,0,0,"Sometimes you do have to go out to get groceries, but #wearamask and #staysafe #babyyoda #babyyoda #thechild #themandalorian #mandalorian #mask #covid19 #stayhome #stayhomestaysafe @Austin, Texas https://www.instagram.com/p/CA_vVQfFqFl/?igshid=1g8ty380ewv2u",,,#wearamask #staysafe #babyyoda #babyyoda #thechild #themandalorian #mandalorian #mask #covid19 #stayhome #stayhome #stayhomestaysafe,1268364666092347393,https://twitter.com/JakeNorthPhoto/status/1268364666092347393
2020-06-04 00:58:47,MissMelRose_,,0,0,2,"If you have to mask your “blackness” to make others more comfortable around you, you should reevaluate your relationships/friendships, and love yourself first. ",,,,1268346427509477377,https://twitter.com/MissMelRose_/status/1268346427509477377
