date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-04 23:59:59,bosshogg4628,,1,0,0,"them and pray for true change not just some hashtags and profile pics blacked out. As I watched the governor of VA give a speech today and explain that he is taking down a statue/monument that represents a man who was honorable, Christian, prideful in his country USA, and was",,,,1268694018332004353,https://twitter.com/bosshogg4628/status/1268694018332004353
2020-06-04 23:59:59,bosshogg4628,,1,0,0,"through teaching my children “school”, and quite frankly from Math to History we are not teaching anything that is correct. I’m not a fan of burning cities down, looting stores and rioting, but I’m white and can’t understand the pain inside the black community. I stand with",,,,1268694017262436357,https://twitter.com/bosshogg4628/status/1268694017262436357
2020-06-04 23:59:59,bosshogg4628,,1,0,0,"As I sit down tonight with thought, I’m conflicted. My heart hurts for the nation, for the community, and for George Floyd’s family. First, we have to change the rhetoric, we have to come together for those conversations that are tough. I just got through homeschool, I got",,,,1268694015274364928,https://twitter.com/bosshogg4628/status/1268694015274364928
2020-06-04 23:59:55,EdChristina,EdChristina,0,0,0,"@BreRVA Well this just happened to me personally so",,@BreRVA,,1268693998497148929,https://twitter.com/EdChristina/status/1268693998497148929
2020-06-04 23:59:15,jimmybudd,,0,0,0,"THIS should be the next @verzuzonline challenge champtheteach : bbrossmusic #everybodyvsracism #rva #richmond #virginia @VisitRichmond @visitvirginia @likethefruit @Robert E. Lee Monument https://www.instagram.com/p/CBCFBOOlSV4/?igshid=17d1yyed4sz8c",,@verzuzonline @VisitRichmond @VisitVirginia @likethefruit,#everybodyvsracism #rva #richmond #virginia,1268693833400946689,https://twitter.com/jimmybudd/status/1268693833400946689
2020-06-04 23:59:09,ludeke_linda,fixurheart2016,0,0,2,"Amen!!",,,,1268693805349457920,https://twitter.com/ludeke_linda/status/1268693805349457920
2020-06-04 23:58:46,RVAhistoryEDU,edace2936,1,0,1,"Wheel Brigade?",,,,1268693710004420613,https://twitter.com/RVAhistoryEDU/status/1268693710004420613
2020-06-04 23:57:50,ludeke_linda,elosisofficial,0,0,2,"Amen all glory to God!!!",,,,1268693473991036929,https://twitter.com/ludeke_linda/status/1268693473991036929
2020-06-04 23:57:27,billnieporte,realDonaldTrump,0,0,0,"YOU DON'T ATTACK PEACEFUL PROTESTORS AND CHURCH STAFF TO GET A PHOTO OPP WITH A BIBLE. Please resign. You shame out nation. THANK YOU",,,,1268693381296906248,https://twitter.com/billnieporte/status/1268693381296906248
2020-06-04 23:56:44,Shamar2Elite,,0,0,2,"Even though my thoughts on certain situations have to be to a minimum my point will be put out in the most respectful way possible.",,,,1268693199419248642,https://twitter.com/Shamar2Elite/status/1268693199419248642
2020-06-04 23:56:19,RVAbikedad,Chris_Long_VT,1,0,2,"",,,,1268693092883992576,https://twitter.com/RVAbikedad/status/1268693092883992576
2020-06-04 23:56:13,ludeke_linda,FilloMike,0,0,1," ",,,,1268693067642568705,https://twitter.com/ludeke_linda/status/1268693067642568705
2020-06-04 23:55:57,BossRVA,kujo1017,0,0,1,"Cool! Thanks for the help. My friend keeps telling me I should identify them but I always forget even after I find one of them out what I learned. Now I know 3 of my wildflowers. ",,,,1268693002681225216,https://twitter.com/BossRVA/status/1268693002681225216
2020-06-04 23:55:27,JkdillK,realDonaldTrump,0,0,0,"Great, I'll be there too, campaigning against you, dork.",,,,1268692876273295360,https://twitter.com/JkdillK/status/1268692876273295360
2020-06-04 23:55:11,Mikelovebx,,0,0,0,"It was tough times, now we fuck dimes. I’ve fucked niggas bitches so why would I trust mine.",,,,1268692810619813888,https://twitter.com/Mikelovebx/status/1268692810619813888
2020-06-04 23:54:58,DcnPeterM,CristoReyRVA,0,1,0,"Proud to share this message. #CristoReyStrong #BlackLivesMatter #CristoReyWay",,,#CristoReyStrong #BlackLivesMatter #BlackLivesMatter #CristoReyWay,1268692755322191872,https://twitter.com/DcnPeterM/status/1268692755322191872
2020-06-04 23:54:32,braxtrick,caitylinnn_,0,0,0,"Just a circle of talking shit",,,,1268692644839993346,https://twitter.com/braxtrick/status/1268692644839993346
2020-06-04 23:54:17,JkdillK,Jenjuxtapose,0,0,0,"Yea, not sure how to send a strawberry.",,,,1268692583917801474,https://twitter.com/JkdillK/status/1268692583917801474
2020-06-04 23:54:08,cstanderfer,cafedarkness,2,0,6,"I’m seriously thinking of making a coffee table book comprised solely of your responses to Dear Leader. Or maybe an advent calendar! A smol treat behind every dumb ass fucking thing he says, for a lil energy to keep living in this hellscape.",,,,1268692544252248064,https://twitter.com/cstanderfer/status/1268692544252248064
2020-06-04 23:54:02,brucehallsports,DanaManchild,0,0,0,"If only it were that simple.",,,,1268692520747380737,https://twitter.com/brucehallsports/status/1268692520747380737
2020-06-04 23:53:23,Richie_Hertz,,0,9,17,"Moment of silence for lives lost. – at Richmond Police Fourth Precinct",,,,1268692356523573248,https://twitter.com/Richie_Hertz/status/1268692356523573248
2020-06-04 23:52:53,JkdillK,Nadkim,0,0,1,"Thank you!",,,,1268692231646523404,https://twitter.com/JkdillK/status/1268692231646523404
2020-06-04 23:52:23,JkdillK,DantonSix,0,0,1,"Retweet, please. Thanks.",,,,1268692102311038978,https://twitter.com/JkdillK/status/1268692102311038978
2020-06-04 23:51:55,taber,KenyaTheHunter,1,0,2,"we're glad you're here ",,,,1268691985612898311,https://twitter.com/taber/status/1268691985612898311
2020-06-04 23:51:49,JkdillK,LaurynTrimmer,0,0,1,"Yes, please.",,,,1268691961516605447,https://twitter.com/JkdillK/status/1268691961516605447
2020-06-04 23:51:24,cmhoughton,OguzJames,0,0,1,"Not athletic, but was doing strength training at the Y to compensate for the MS, hadn’t gone since the lockdown, so recently got bow trainer, it was like I had never done these exercises before. Out of breath in 15 minutes, so not normal. Thanks for the info.",,,,1268691854834401281,https://twitter.com/cmhoughton/status/1268691854834401281
2020-06-04 23:50:41,franjudge54,sendittodoug,1,0,1,"Tired of you being an ignorant grunt!! That’s what I’m tired of. It takes more than you telling me to shut up for me to do so. I don’t know you, you don’t know me. I know one thing: you don’t comprehend well.",,,,1268691676152897536,https://twitter.com/franjudge54/status/1268691676152897536
