,Datetime,Text,hashtags,city,tokenized_tweets,date
0,2020-04-30 23:58:36+00:00,Wear the one in the middle next to the one on the right,,"Richmond, VA","['Wear', 'the', 'one', 'in', 'the', 'middle', 'next', 'to', 'the', 'one', 'on', 'the', 'right']",2020-04-30
1,2020-04-30 23:58:24+00:00,PS thank you @psyoctave for this one rn,,"Richmond, VA","['PS', 'thank', 'you', '@', 'psyoctave', 'for', 'this', 'one', 'rn']",2020-04-30
2,2020-04-30 23:57:53+00:00,Sub Focus’s edit of Hold On. That’s it that’s the tweet,,"Richmond, VA","['Sub', 'Focus', '’', 's', 'edit', 'of', 'Hold', 'On', '.', 'That', '’', 's', 'it', 'that', '’', 's', 'the', 'tweet']",2020-04-30
3,2020-04-30 23:57:38+00:00,It might trigger him.,,"Richmond, VA","['It', 'might', 'trigger', 'him', '.']",2020-04-30
4,2020-04-30 23:57:09+00:00,Love you baby girl ,,"Richmond, VA","['Love', 'you', 'baby', 'girl']",2020-04-30
5,2020-04-30 23:56:50+00:00,Okay Karen.,,"Richmond, VA","['Okay', 'Karen', '.']",2020-04-30
6,2020-04-30 23:56:44+00:00,WTF is it?,,"Richmond, VA","['WTF', 'is', 'it', '?']",2020-04-30
7,2020-04-30 23:56:29+00:00,I tried to pay all my medical bills today and these niggas was playing around with me,,"Richmond, VA","['I', 'tried', 'to', 'pay', 'all', 'my', 'medical', 'bills', 'today', 'and', 'these', 'niggas', 'was', 'playing', 'around', 'with', 'me']",2020-04-30
8,2020-04-30 23:55:33+00:00,Pop smoke would’ve sounded amazing on this ,,"Richmond, VA","['Pop', 'smoke', 'would', '’', 've', 'sounded', 'amazing', 'on', 'this']",2020-04-30
9,2020-04-30 23:55:10+00:00,Not only will it help clear your skin your whole body will feel better and it will thank you,,"Richmond, VA","['Not', 'only', 'will', 'it', 'help', 'clear', 'your', 'skin', 'your', 'whole', 'body', 'will', 'feel', 'better', 'and', 'it', 'will', 'thank', 'you']",2020-04-30
10,2020-04-30 23:54:35+00:00,Drinking things with water in it will not hydrate you only thing that will hydrate you is plain WATER,,"Richmond, VA","['Drinking', 'things', 'with', 'water', 'in', 'it', 'will', 'not', 'hydrate', 'you', 'only', 'thing', 'that', 'will', 'hydrate', 'you', 'is', 'plain', 'WATER']",2020-04-30
11,2020-04-30 23:54:33+00:00,#RIPLegend Tony Allen,#RIPLegend,"Richmond, VA","['#', 'RIPLegend', 'Tony', 'Allen']",2020-04-30
12,2020-04-30 23:54:15+00:00,Boohoo,,"Richmond, VA",['Boohoo'],2020-04-30
13,2020-04-30 23:54:01+00:00,He will get there soon.,,"Richmond, VA","['He', 'will', 'get', 'there', 'soon', '.']",2020-04-30
14,2020-04-30 23:53:49+00:00,"When your wife doesn’t remember that you were crying about fried fish a few days earlier. But then suggest to go to Hawks BBQ tonight for dinner so I was able to get my fried fish!!!!! GLOOOORRRAAAAYYYYYY @Richmond,… https://www.instagram.com/p/B_n8kn3DAn5/?igshid=2p18d29fohu2",,"Richmond, VA","['When', 'your', 'wife', 'doesn', '’', 't', 'remember', 'that', 'you', 'were', 'crying', 'about', 'fried', 'fish', 'a', 'few', 'days', 'earlier', '.', 'But', 'then', 'suggest', 'to', 'go', 'to', 'Hawks', 'BBQ', 'tonight', 'for', 'dinner', 'so', 'I', 'was', 'able', 'to', 'get', 'my', 'fried', 'fish', '!', '!', '!', '!', '!', 'GLOOOORRRAAAAYYYYYY', '@', 'Richmond', ',', '…', 'https', ':', '//www.instagram.com/p/B_n8kn3DAn5/', '?', 'igshid=2p18d29fohu2']",2020-04-30
15,2020-04-30 23:53:40+00:00,The boss is not wrong very often.....like never .......,,"Richmond, VA","['The', 'boss', 'is', 'not', 'wrong', 'very', 'often', '...', '..like', 'never', '...', '...', '.']",2020-04-30
16,2020-04-30 23:53:28+00:00,Ntm on him,,"Richmond, VA","['Ntm', 'on', 'him']",2020-04-30
17,2020-04-30 23:53:16+00:00,BETRAYAL! it really be your own people ,,"Richmond, VA","['BETRAYAL', '!', 'it', 'really', 'be', 'your', 'own', 'people']",2020-04-30
18,2020-04-30 23:52:43+00:00,You got this! ,,"Richmond, VA","['You', 'got', 'this', '!']",2020-04-30
19,2020-04-30 23:52:43+00:00,Puke sounds.....June 1,,"Richmond, VA","['Puke', 'sounds', '...', '..June', '1']",2020-04-30
20,2020-04-30 23:52:37+00:00,Honestly we sit back trip off you because you so infatuated with us. You can’t go one day with VT on the brain,,"Richmond, VA","['Honestly', 'we', 'sit', 'back', 'trip', 'off', 'you', 'because', 'you', 'so', 'infatuated', 'with', 'us', '.', 'You', 'can', '’', 't', 'go', 'one', 'day', 'with', 'VT', 'on', 'the', 'brain']",2020-04-30
21,2020-04-30 23:51:51+00:00,Niggas drink half a bottle of water a day and have the nerve to ask why they skin won’t clear up,,"Richmond, VA","['Niggas', 'drink', 'half', 'a', 'bottle', 'of', 'water', 'a', 'day', 'and', 'have', 'the', 'nerve', 'to', 'ask', 'why', 'they', 'skin', 'won', '’', 't', 'clear', 'up']",2020-04-30
22,2020-04-30 23:51:42+00:00,they have made it 10x worse. hannah has been clear that she isn’t pressed about that situation so i don’t know why they are.,,"Richmond, VA","['they', 'have', 'made', 'it', '10x', 'worse', '.', 'hannah', 'has', 'been', 'clear', 'that', 'she', 'isn', '’', 't', 'pressed', 'about', 'that', 'situation', 'so', 'i', 'don', '’', 't', 'know', 'why', 'they', 'are', '.']",2020-04-30
23,2020-04-30 23:51:15+00:00,"I was referring to James, because I couldn’t find the tweets. This was probably due to all of the tweets of he has been responding to.",,"Richmond, VA","['I', 'was', 'referring', 'to', 'James', ',', 'because', 'I', 'couldn', '’', 't', 'find', 'the', 'tweets', '.', 'This', 'was', 'probably', 'due', 'to', 'all', 'of', 'the', 'tweets', 'of', 'he', 'has', 'been', 'responding', 'to', '.']",2020-04-30
24,2020-04-30 23:50:01+00:00,Right in my shins,,"Richmond, VA","['Right', 'in', 'my', 'shins']",2020-04-30
25,2020-04-30 23:49:51+00:00,Congratulations baby!!!!!,,"Richmond, VA","['Congratulations', 'baby', '!', '!', '!', '!', '!']",2020-04-30
26,2020-04-30 23:48:50+00:00,You would like to think that !,,"Richmond, VA","['You', 'would', 'like', 'to', 'think', 'that', '!']",2020-04-30
27,2020-04-30 23:48:44+00:00,"I think she meant other military kids ... And honestly, I have experienced a few military kids in my day and they. are. weird. ",,"Richmond, VA","['I', 'think', 'she', 'meant', 'other', 'military', 'kids', '...', 'And', 'honestly', ',', 'I', 'have', 'experienced', 'a', 'few', 'military', 'kids', 'in', 'my', 'day', 'and', 'they', '.', 'are', '.', 'weird', '.']",2020-04-30
28,2020-04-30 23:48:06+00:00,I’ve been on the phone with my brother for over an hour as he cooks chili & cornbread from a recipe for what appears to be the first time in forever & let me tell you it’s taking ALL my self control to not 1) dish out all my elder brother commentary 2) jump thru the phone to help,,"Richmond, VA","['I', '’', 've', 'been', 'on', 'the', 'phone', 'with', 'my', 'brother', 'for', 'over', 'an', 'hour', 'as', 'he', 'cooks', 'chili', '&', 'cornbread', 'from', 'a', 'recipe', 'for', 'what', 'appears', 'to', 'be', 'the', 'first', 'time', 'in', 'forever', '&', 'let', 'me', 'tell', 'you', 'it', '’', 's', 'taking', 'ALL', 'my', 'self', 'control', 'to', 'not', '1', ')', 'dish', 'out', 'all', 'my', 'elder', 'brother', 'commentary', '2', ')', 'jump', 'thru', 'the', 'phone', 'to', 'help']",2020-04-30
29,2020-04-30 23:47:42+00:00,I haven’t. The dogs that seem to be available are still just too much for me to handle. I thought I found the perfect one in Alexandria but somehow at 10 weeks old they just know it wouldn’t do well in a house with cats. ,,"Richmond, VA","['I', 'haven', '’', 't', '.', 'The', 'dogs', 'that', 'seem', 'to', 'be', 'available', 'are', 'still', 'just', 'too', 'much', 'for', 'me', 'to', 'handle', '.', 'I', 'thought', 'I', 'found', 'the', 'perfect', 'one', 'in', 'Alexandria', 'but', 'somehow', 'at', '10', 'weeks', 'old', 'they', 'just', 'know', 'it', 'wouldn', '’', 't', 'do', 'well', 'in', 'a', 'house', 'with', 'cats', '.']",2020-04-30
30,2020-04-30 23:47:25+00:00,@PixBNJelly u eat neck bones?,,"Richmond, VA","['@', 'PixBNJelly', 'u', 'eat', 'neck', 'bones', '?']",2020-04-30
31,2020-04-30 23:47:07+00:00,He took over Monsanto spraying of crops until they kicked him out of India.,,"Richmond, VA","['He', 'took', 'over', 'Monsanto', 'spraying', 'of', 'crops', 'until', 'they', 'kicked', 'him', 'out', 'of', 'India', '.']",2020-04-30
32,2020-04-30 23:47:00+00:00,A2: Teachers need PD to include both remote learning and face to face applications. We talk about equity in student accessibility but we also need to ensure our teachers have accessibility to quality personalized PD during this time.#VaLINchat,#VaLINchat,"Richmond, VA","['A2', ':', 'Teachers', 'need', 'PD', 'to', 'include', 'both', 'remote', 'learning', 'and', 'face', 'to', 'face', 'applications', '.', 'We', 'talk', 'about', 'equity', 'in', 'student', 'accessibility', 'but', 'we', 'also', 'need', 'to', 'ensure', 'our', 'teachers', 'have', 'accessibility', 'to', 'quality', 'personalized', 'PD', 'during', 'this', 'time.', '#', 'VaLINchat']",2020-04-30
33,2020-04-30 23:46:43+00:00,I was thinking that low key lol,,"Richmond, VA","['I', 'was', 'thinking', 'that', 'low', 'key', 'lol']",2020-04-30
34,2020-04-30 23:46:40+00:00,Yes.,,"Richmond, VA","['Yes', '.']",2020-04-30
35,2020-04-30 23:46:33+00:00,Prolly make those tomorrow n some greens,,"Richmond, VA","['Prolly', 'make', 'those', 'tomorrow', 'n', 'some', 'greens']",2020-04-30
36,2020-04-30 23:46:20+00:00,You can slide,,"Richmond, VA","['You', 'can', 'slide']",2020-04-30
37,2020-04-30 23:46:03+00:00,V-neck City,,"Richmond, VA","['V-neck', 'City']",2020-04-30
38,2020-04-30 23:45:52+00:00,The Large pizza box from Angela’s is big enough to be a WWE prop,,"Richmond, VA","['The', 'Large', 'pizza', 'box', 'from', 'Angela', '’', 's', 'is', 'big', 'enough', 'to', 'be', 'a', 'WWE', 'prop']",2020-04-30
39,2020-04-30 23:44:53+00:00,When her parents ask if you know your dad,,"Richmond, VA","['When', 'her', 'parents', 'ask', 'if', 'you', 'know', 'your', 'dad']",2020-04-30
40,2020-04-30 23:44:00+00:00,He was on the page?,,"Richmond, VA","['He', 'was', 'on', 'the', 'page', '?']",2020-04-30
41,2020-04-30 23:43:58+00:00,!!!!!!! Damn & yay!,,"Richmond, VA","['!', '!', '!', '!', '!', '!', '!', 'Damn', '&', 'yay', '!']",2020-04-30
42,2020-04-30 23:43:36+00:00,He typed all of this and still no one’s checking for him. You hate to see it ,,"Richmond, VA","['He', 'typed', 'all', 'of', 'this', 'and', 'still', 'no', 'one', '’', 's', 'checking', 'for', 'him', '.', 'You', 'hate', 'to', 'see', 'it']",2020-04-30
43,2020-04-30 23:43:31+00:00,Man. fuck rent,,"Richmond, VA","['Man', '.', 'fuck', 'rent']",2020-04-30
44,2020-04-30 23:42:40+00:00,It’s not enough to prevent people from dying? He’s psychotic.,,"Richmond, VA","['It', '’', 's', 'not', 'enough', 'to', 'prevent', 'people', 'from', 'dying', '?', 'He', '’', 's', 'psychotic', '.']",2020-04-30
45,2020-04-30 23:42:36+00:00,Ouffffff that hit me,,"Richmond, VA","['Ouffffff', 'that', 'hit', 'me']",2020-04-30
46,2020-04-30 23:42:15+00:00,You win ,,"Richmond, VA","['You', 'win']",2020-04-30
47,2020-04-30 23:42:04+00:00,My boy ,,"Richmond, VA","['My', 'boy']",2020-04-30
48,2020-04-30 23:41:56+00:00,"First off, let’s talk about the Agent 47 nerf wall my man has in the background......",,"Richmond, VA","['First', 'off', ',', 'let', '’', 's', 'talk', 'about', 'the', 'Agent', '47', 'nerf', 'wall', 'my', 'man', 'has', 'in', 'the', 'background', '...', '...']",2020-04-30
49,2020-04-30 23:41:19+00:00,I wouldn’t bron is a hell of a ball player but he would have to visit the wizard & get a bigger heart in his chest to deal with those pistons he had a hard time dealing with Larry brown’s pistons chuck daily’s pistons would have taken what heart he got out of his chest,,"Richmond, VA","['I', 'wouldn', '’', 't', 'bron', 'is', 'a', 'hell', 'of', 'a', 'ball', 'player', 'but', 'he', 'would', 'have', 'to', 'visit', 'the', 'wizard', '&', 'get', 'a', 'bigger', 'heart', 'in', 'his', 'chest', 'to', 'deal', 'with', 'those', 'pistons', 'he', 'had', 'a', 'hard', 'time', 'dealing', 'with', 'Larry', 'brown', '’', 's', 'pistons', 'chuck', 'daily', '’', 's', 'pistons', 'would', 'have', 'taken', 'what', 'heart', 'he', 'got', 'out', 'of', 'his', 'chest']",2020-04-30
50,2020-04-30 23:41:17+00:00,Twitter realllll quiet,,"Richmond, VA","['Twitter', 'realllll', 'quiet']",2020-04-30
51,2020-04-30 23:41:16+00:00,@CattNaghibi dog chloe used to be mean as hell. like she ain’t fuck with nobody except catt and her mom but tbh i want a dog like that now too,,"Richmond, VA","['@', 'CattNaghibi', 'dog', 'chloe', 'used', 'to', 'be', 'mean', 'as', 'hell', '.', 'like', 'she', 'ain', '’', 't', 'fuck', 'with', 'nobody', 'except', 'catt', 'and', 'her', 'mom', 'but', 'tbh', 'i', 'want', 'a', 'dog', 'like', 'that', 'now', 'too']",2020-04-30
52,2020-04-30 23:41:13+00:00,واااي ,,"Richmond, VA",['واااي'],2020-04-30
53,2020-04-30 23:41:12+00:00,Maybe accidentally/unintentionally a way of distinguishing from the Watts uprising ? Idk.,,"Richmond, VA","['Maybe', 'accidentally/unintentionally', 'a', 'way', 'of', 'distinguishing', 'from', 'the', 'Watts', 'uprising', '?', 'Idk', '.']",2020-04-30
54,2020-04-30 23:41:07+00:00,"This is genius! Ladies if you REALLY want that link to reach a wide audience, hit him up!!!",,"Richmond, VA","['This', 'is', 'genius', '!', 'Ladies', 'if', 'you', 'REALLY', 'want', 'that', 'link', 'to', 'reach', 'a', 'wide', 'audience', ',', 'hit', 'him', 'up', '!', '!', '!']",2020-04-30
55,2020-04-30 23:41:04+00:00,Who still eat neck bones?,,"Richmond, VA","['Who', 'still', 'eat', 'neck', 'bones', '?']",2020-04-30
56,2020-04-30 23:40:00+00:00,Great day to be out hanging with morons.,,"Richmond, VA","['Great', 'day', 'to', 'be', 'out', 'hanging', 'with', 'morons', '.']",2020-04-30
57,2020-04-30 23:39:47+00:00,Just tryna see,,"Richmond, VA","['Just', 'tryna', 'see']",2020-04-30
58,2020-04-30 23:39:19+00:00,Bra y’all ODU Nupes are rapey af.,,"Richmond, VA","['Bra', 'y', '’', 'all', 'ODU', 'Nupes', 'are', 'rapey', 'af', '.']",2020-04-30
59,2020-04-30 23:38:28+00:00,Lmao my mom woulda hit me with the bat.. and THATS on shitty parents,,"Richmond, VA","['Lmao', 'my', 'mom', 'woulda', 'hit', 'me', 'with', 'the', 'bat..', 'and', 'THATS', 'on', 'shitty', 'parents']",2020-04-30
60,2020-04-30 23:37:41+00:00,All jokes aside this shit is sick,,"Richmond, VA","['All', 'jokes', 'aside', 'this', 'shit', 'is', 'sick']",2020-04-30
61,2020-04-30 23:37:26+00:00,"An on-going series I have of Ronnie sitting in cool places. Also, I feel like we need to roadtrip back to theveilbrewing asap to pick up some fresh juicy's . Richmond is fun as hell - I can't wait to go back and… https://www.instagram.com/p/B_n6stppoWG/?igshid=sk9dkwnsjzre",,"Richmond, VA","['An', 'on-going', 'series', 'I', 'have', 'of', 'Ronnie', 'sitting', 'in', 'cool', 'places', '.', 'Also', ',', 'I', 'feel', 'like', 'we', 'need', 'to', 'roadtrip', 'back', 'to', 'theveilbrewing', 'asap', 'to', 'pick', 'up', 'some', 'fresh', 'juicy', ""'s"", '.', 'Richmond', 'is', 'fun', 'as', 'hell', '-', 'I', 'ca', ""n't"", 'wait', 'to', 'go', 'back', 'and…', 'https', ':', '//www.instagram.com/p/B_n6stppoWG/', '?', 'igshid=sk9dkwnsjzre']",2020-04-30
62,2020-04-30 23:36:32+00:00,When outside open I gotta see @Classic_Telly and @msmonique__,,"Richmond, VA","['When', 'outside', 'open', 'I', 'got', 'ta', 'see', '@', 'Classic_Telly', 'and', '@', 'msmonique__']",2020-04-30
63,2020-04-30 23:35:39+00:00,This hard slime! ,,"Richmond, VA","['This', 'hard', 'slime', '!']",2020-04-30
64,2020-04-30 23:35:19+00:00,Of course,,"Richmond, VA","['Of', 'course']",2020-04-30
65,2020-04-30 23:34:33+00:00,I wish a nigga would touch my lil sister... it’s gon b a homiciiiiiiiide ,,"Richmond, VA","['I', 'wish', 'a', 'nigga', 'would', 'touch', 'my', 'lil', 'sister', '...', 'it', '’', 's', 'gon', 'b', 'a', 'homiciiiiiiiide']",2020-04-30
66,2020-04-30 23:34:33+00:00,Charlieeeeeeee ,,"Richmond, VA",['Charlieeeeeeee'],2020-04-30
67,2020-04-30 23:34:16+00:00, ,,"Richmond, VA",[],2020-04-30
